n_reads,n_threads,finegrain_type,avg_t_calcscore,avg_t_adread,avg_t_adisum
10,64,1,1.65757e+07,1.54177e+07,1.4113e+07
10,1,1,9.95295e+06,9.59089e+06,8.66047e+06
10,2,1,6.48606e+06,5.83646e+06,5.17163e+06
10,4,1,4.31722e+06,3.79419e+06,3.29444e+06
10,5,1,4.2294e+06,3.57257e+06,3.17742e+06
10,6,1,3.83543e+06,3.21126e+06,2.82337e+06
10,7,1,4.25971e+06,3.53083e+06,3.04479e+06
10,8,1,4.74616e+06,4.03737e+06,3.48156e+06
10,10,1,7.60293e+06,6.52847e+06,5.92966e+06
10,16,1,8.49242e+06,7.41081e+06,6.6856e+06
10,32,1,1.10088e+07,9.99575e+06,9.13439e+06
10,64,1,1.58765e+07,1.50476e+07,1.36386e+07
10,1,1,9.46515e+06,9.10676e+06,8.28293e+06
10,2,1,5.84088e+06,5.439e+06,4.81759e+06
10,4,1,4.4721e+06,3.89022e+06,3.46629e+06
10,5,1,3.89707e+06,3.40138e+06,3.01659e+06
10,6,1,4.07655e+06,3.43057e+06,3.05933e+06
10,7,1,4.34944e+06,3.47051e+06,3.03267e+06
10,8,1,4.80736e+06,4.10099e+06,3.62341e+06
10,10,1,7.38879e+06,6.41288e+06,5.82749e+06
10,16,1,8.34965e+06,7.42397e+06,6.70758e+06
10,32,1,1.12366e+07,1.02624e+07,9.43008e+06
10,64,1,1.76793e+07,1.66084e+07,1.5205e+07
10,1,1,9.59135e+06,9.19485e+06,8.36039e+06
10,2,1,6.33991e+06,5.89155e+06,5.13959e+06
10,4,1,5.21933e+06,4.16831e+06,3.68517e+06
10,5,1,4.439e+06,3.54972e+06,3.1608e+06
10,6,1,3.84683e+06,3.25071e+06,2.8854e+06
10,7,1,4.8897e+06,4.08763e+06,3.67365e+06
10,8,1,4.78376e+06,3.99618e+06,3.50648e+06
10,10,1,7.58977e+06,6.48e+06,5.88388e+06
10,16,1,8.28237e+06,7.41716e+06,6.58198e+06
10,32,1,1.18843e+07,1.0803e+07,9.8861e+06
10,64,1,1.67026e+07,1.59388e+07,1.46062e+07
10,1,1,9.81934e+06,9.42941e+06,8.57716e+06
10,2,1,6.62676e+06,5.89327e+06,5.23935e+06
10,4,1,4.23803e+06,3.71999e+06,3.29242e+06
10,5,1,4.91804e+06,3.89223e+06,3.47304e+06
10,6,1,4.02795e+06,3.36432e+06,2.99569e+06
10,7,1,3.84376e+06,3.18424e+06,2.748e+06
10,8,1,5.41781e+06,4.25123e+06,3.72553e+06
10,10,1,8.31914e+06,6.88735e+06,6.31368e+06
10,16,1,9.68943e+06,8.27707e+06,7.56976e+06
10,32,1,1.11097e+07,1.01192e+07,9.23311e+06
10,64,1,1.74323e+07,1.6131e+07,1.48727e+07
10,1,1,9.58833e+06,9.20606e+06,8.36967e+06
10,2,1,7.4322e+06,6.6118e+06,5.96008e+06
10,4,1,5.24353e+06,4.57295e+06,4.04295e+06
10,5,1,4.01094e+06,3.49072e+06,3.00559e+06
10,6,1,3.81316e+06,3.24587e+06,2.841e+06
10,7,1,3.93693e+06,3.25286e+06,2.87423e+06
10,8,1,4.7989e+06,4.00793e+06,3.55911e+06
10,10,1,7.653e+06,6.67152e+06,6.07813e+06
10,16,1,8.51924e+06,7.50356e+06,6.77103e+06
10,32,1,1.11144e+07,1.02401e+07,9.3789e+06
10,64,1,1.57487e+07,1.50096e+07,1.3733e+07
10,1,1,9.53925e+06,9.17024e+06,8.3286e+06
10,2,1,7.00213e+06,6.29548e+06,5.67743e+06
10,4,1,4.19461e+06,3.70584e+06,3.26509e+06
10,5,1,3.98975e+06,3.42728e+06,3.06168e+06
